mode,p,seed,k,n_eval,n_correct,accuracy
2,0.75,0,8,150,33,0.22
2,0.75,1,1,150,27,0.18
2,0.75,1,2,150,20,0.13333333333333333
2,0.75,1,4,150,20,0.13333333333333333
2,0.75,1,8,150,21,0.14
2,0.75,2,1,150,27,0.18
2,0.75,2,2,150,25,0.16666666666666666
2,0.75,2,4,150,24,0.16
2,0.75,2,8,150,23,0.15333333333333332
2,0.75,3,1,150,26,0.17333333333333334
2,0.75,3,2,150,27,0.18
2,0.75,3,4,150,20,0.13333333333333333
2,0.75,3,8,150,28,0.18666666666666668
2,0.75,4,1,150,25,0.16666666666666666
2,0.75,4,2,150,26,0.17333333333333334
2,0.75,4,4,150,27,0.18
2,0.75,4,8,150,21,0.14
2,0.75,5,1,150,23,0.15333333333333332
2,0.75,5,2,150,21,0.14
2,0.75,5,4,150,26,0.17333333333333334
2,0.75,5,8,150,30,0.2
2,0.75,6,1,150,23,0.15333333333333332
2,0.75,6,2,150,17,0.11333333333333333
2,0.75,6,4,150,17,0.11333333333333333
2,0.75,6,8,150,30,0.2
2,0.75,7,1,150,27,0.18
2,0.75,7,2,150,25,0.16666666666666666
2,0.75,7,4,150,29,0.19333333333333333
2,0.75,7,8,150,29,0.19333333333333333
2,1.0,0,1,150,26,0.17333333333333334
2,1.0,0,2,150,27,0.18
2,1.0,0,4,150,28,0.18666666666666668
2,1.0,0,8,150,27,0.18
2,1.0,1,1,150,27,0.18
2,1.0,1,2,150,25,0.16666666666666666
2,1.0,1,4,150,25,0.16666666666666666
2,1.0,1,8,150,25,0.16666666666666666
2,1.0,2,1,150,23,0.15333333333333332
2,1.0,2,2,150,22,0.14666666666666667
2,1.0,2,4,150,21,0.14
2,1.0,2,8,150,20,0.13333333333333333
2,1.0,3,1,150,27,0.18
2,1.0,3,2,150,26,0.17333333333333334
2,1.0,3,4,150,25,0.16666666666666666
2,1.0,3,8,150,27,0.18
2,1.0,4,1,150,28,0.18666666666666668
2,1.0,4,2,150,27,0.18
2,1.0,4,4,150,27,0.18
2,1.0,4,8,150,26,0.17333333333333334
2,1.0,5,1,150,27,0.18
2,1.0,5,2,150,27,0.18
2,1.0,5,4,150,26,0.17333333333333334
2,1.0,5,8,150,27,0.18
2,1.0,6,1,150,25,0.16666666666666666
2,1.0,6,2,150,22,0.14666666666666667
2,1.0,6,4,150,22,0.14666666666666667
2,1.0,6,8,150,24,0.16
2,1.0,7,1,150,32,0.21333333333333335
2,1.0,7,2,150,32,0.21333333333333335
2,1.0,7,4,150,31,0.20666666666666667
2,1.0,7,8,150,30,0.2
