mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.5,7,20,concat,200,88,0.44
1,0.5,7,20,chemotaxis,200,59,0.295
1,0.5,7,40,recency,200,50,0.25
1,0.5,7,40,point,200,117,0.585
1,0.5,7,40,concat,200,107,0.535
1,0.5,7,40,chemotaxis,200,80,0.4
1,0.5,7,80,recency,200,50,0.25
1,0.5,7,80,point,200,141,0.705
1,0.5,7,80,concat,200,125,0.625
1,0.5,7,80,chemotaxis,200,99,0.495
1,0.5,8,10,recency,200,40,0.2
1,0.5,8,10,point,200,84,0.42
1,0.5,8,10,concat,200,74,0.37
1,0.5,8,10,chemotaxis,200,53,0.265
1,0.5,8,20,recency,200,40,0.2
1,0.5,8,20,point,200,100,0.5
1,0.5,8,20,concat,200,82,0.41
1,0.5,8,20,chemotaxis,200,63,0.315
1,0.5,8,40,recency,200,40,0.2
1,0.5,8,40,point,200,117,0.585
1,0.5,8,40,concat,200,104,0.52
1,0.5,8,40,chemotaxis,200,79,0.395
1,0.5,8,80,recency,200,40,0.2
1,0.5,8,80,point,200,127,0.635
1,0.5,8,80,concat,200,114,0.57
1,0.5,8,80,chemotaxis,200,82,0.41
1,0.5,9,10,recency,200,69,0.345
1,0.5,9,10,point,200,87,0.435
1,0.5,9,10,concat,200,73,0.365
1,0.5,9,10,chemotaxis,200,53,0.265
1,0.5,9,20,recency,200,71,0.355
1,0.5,9,20,point,200,102,0.51
1,0.5,9,20,concat,200,91,0.455
1,0.5,9,20,chemotaxis,200,63,0.315
1,0.5,9,40,recency,200,71,0.355
1,0.5,9,40,point,200,120,0.6
1,0.5,9,40,concat,200,112,0.56
1,0.5,9,40,chemotaxis,200,79,0.395
1,0.5,9,80,recency,200,71,0.355
1,0.5,9,80,point,200,127,0.635
1,0.5,9,80,concat,200,122,0.61
1,0.5,9,80,chemotaxis,200,87,0.435
1,0.65,0,40,recency,200,59,0.295
1,0.65,0,40,point,200,117,0.585
1,0.65,0,40,concat,200,101,0.505
1,0.65,0,40,chemotaxis,200,84,0.42
1,0.65,1,40,recency,200,45,0.225
1,0.65,1,40,point,200,125,0.625
1,0.65,1,40,concat,200,88,0.44
1,0.65,1,40,chemotaxis,200,73,0.365
1,0.65,2,40,recency,200,40,0.2
1,0.65,2,40,point,200,127,0.635
1,0.65,2,40,concat,200,107,0.535
1,0.65,2,40,chemotaxis,200,98,0.49
1,0.65,3,40,recency,200,33,0.165
1,0.65,3,40,point,200,123,0.615
1,0.65,3,40,concat,200,93,0.465
1,0.65,3,40,chemotaxis,200,84,0.42
1,0.65,4,40,recency,200,42,0.21
1,0.65,4,40,point,200,95,0.475
1,0.65,4,40,concat,200,77,0.385
1,0.65,4,40,chemotaxis,200,69,0.345
1,0.65,5,40,recency,200,37,0.185
1,0.65,5,40,point,200,124,0.62
1,0.65,5,40,concat,200,95,0.475
1,0.65,5,40,chemotaxis,200,79,0.395
1,0.65,6,40,recency,200,51,0.255
1,0.65,6,40,point,200,116,0.58
1,0.65,6,40,concat,200,98,0.49
1,0.65,6,40,chemotaxis,200,87,0.435
1,0.65,7,40,recency,200,47,0.235
